host,variant,run,rule,real_F1,reproduced,chosen_mask,chosen_tau,chosen_lambda
SimulatedWS12,fullz,1,significant_tau100,0.0,True,,,
SimulatedWS12,fullz,1,critical_tau1000,0.0,True,,,
SimulatedWS12,fullz,1,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,fullz,1,mask_NET_tau10,0.016,True,,,
SimulatedWS12,fullz,1,mask_PROCESS_tau10,0.0,True,,,
SimulatedWS12,fullz,1,mask_PROCESS_tau1,0.8222,True,,,
SimulatedWS12,fullz,1,oracle_prefix,0.4578,True,,,
SimulatedWS12,fullz,1,topk5,0.4318,True,,,
SimulatedWS12,fullz,1,topk10,0.4043,True,,,
SimulatedWS12,fullz,1,topk15,0.3979,True,,,
SimulatedWS12,fullz,1,topk20,0.3979,True,,,
SimulatedWS12,fullz,1,outlier_grubbs,0.016,True,,,
SimulatedWS12,fullz,1,outlier_zscore,0.0222,True,,,
SimulatedWS12,fullz,1,outlier_iqr,0.016,True,,,
SimulatedWS12,fullz,2,default_tau10,0.5649,True,,,
SimulatedWS12,fullz,2,minor_tau1,0.4568,True,,,
SimulatedWS12,fullz,2,significant_tau100,0.0,True,,,
SimulatedWS12,fullz,2,critical_tau1000,0.0,True,,,
SimulatedWS12,fullz,2,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,fullz,2,mask_NET_tau10,0.0,True,,,
SimulatedWS12,fullz,2,mask_PROCESS_tau10,0.961,True,,,
SimulatedWS12,fullz,2,mask_PROCESS_tau1,0.8409,True,,,
SimulatedWS12,fullz,2,oracle_prefix,0.5649,True,,,
SimulatedWS12,fullz,2,topk5,0.4744,True,,,
SimulatedWS12,fullz,2,topk10,0.4568,True,,,
SimulatedWS12,fullz,2,topk15,0.4568,True,,,
SimulatedWS12,fullz,2,topk20,0.4568,True,,,
SimulatedWS12,fullz,2,outlier_grubbs,0.5649,True,,,
SimulatedWS12,fullz,2,outlier_zscore,0.0,True,,,
SimulatedWS12,fullz,2,outlier_iqr,0.0,True,,,
SimulatedWS12,fullz,0,loocv_tau,0.5692,True,,6.0,
SimulatedWS12,fullz,0,loocv_mask,0.9136,True,PROCESS,2.88998137,
SimulatedWS12,fullz,0,loocv_lambda,0.9136,True,PROCESS,2.88998137,0.0
SimulatedWS12,fullz,1,loocv_tau,0.4318,True,,4.932142309999999,
SimulatedWS12,fullz,1,loocv_mask,0.9136,True,PROCESS,3.1145215100000003,
SimulatedWS12,fullz,1,loocv_lambda,0.9136,True,PROCESS,3.1145215100000003,0.0
SimulatedWS12,fullz,2,loocv_tau,0.5649,True,,6.0,
SimulatedWS12,fullz,2,loocv_mask,0.0,True,FILE,1.7795108,
SimulatedWS12,fullz,2,loocv_lambda,0.0,True,FILE,1.7795108,0.0
SimulatedWS12,TGN_fullz,0,default_tau10,0.5606,True,,,
SimulatedWS12,TGN_fullz,0,minor_tau1,0.4744,True,,,
SimulatedWS12,TGN_fullz,0,significant_tau100,0.0,True,,,
SimulatedWS12,TGN_fullz,0,critical_tau1000,0.0,True,,,
SimulatedWS12,TGN_fullz,0,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,0,mask_NET_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,0,mask_PROCESS_tau10,0.9487,True,,,
SimulatedWS12,TGN_fullz,0,mask_PROCESS_tau1,0.5175,True,,,
SimulatedWS12,TGN_fullz,0,oracle_prefix,0.9487,True,,,
SimulatedWS12,TGN_fullz,0,topk5,0.5324,True,,,
SimulatedWS12,TGN_fullz,0,topk10,0.4868,True,,,
SimulatedWS12,TGN_fullz,0,topk15,0.4744,True,,,
SimulatedWS12,TGN_fullz,0,topk20,0.4744,True,,,
SimulatedWS12,TGN_fullz,0,outlier_grubbs,0.5606,True,,,
SimulatedWS12,TGN_fullz,0,outlier_zscore,0.5606,True,,,
SimulatedWS12,TGN_fullz,0,outlier_iqr,0.5606,True,,,
SimulatedWS12,TGN_fullz,1,default_tau10,0.2662,True,,,
SimulatedWS12,TGN_fullz,1,minor_tau1,0.2594,True,,,
SimulatedWS12,TGN_fullz,1,significant_tau100,0.0,True,,,
SimulatedWS12,TGN_fullz,1,critical_tau1000,0.0,True,,,
SimulatedWS12,TGN_fullz,1,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,1,mask_NET_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,1,mask_PROCESS_tau10,0.961,True,,,
SimulatedWS12,TGN_fullz,1,mask_PROCESS_tau1,0.8941,True,,,
SimulatedWS12,TGN_fullz,1,oracle_prefix,0.2724,True,,,
SimulatedWS12,TGN_fullz,1,topk5,0.263,True,,,
SimulatedWS12,TGN_fullz,1,topk10,0.2594,True,,,
SimulatedWS12,TGN_fullz,1,topk15,0.2594,True,,,
SimulatedWS12,TGN_fullz,1,topk20,0.2594,True,,,
SimulatedWS12,TGN_fullz,1,outlier_grubbs,0.2662,True,,,
SimulatedWS12,TGN_fullz,1,outlier_zscore,0.0,True,,,
SimulatedWS12,TGN_fullz,1,outlier_iqr,0.0,True,,,
SimulatedWS12,TGN_fullz,2,default_tau10,0.4302,True,,,
SimulatedWS12,TGN_fullz,2,minor_tau1,0.3834,True,,,
SimulatedWS12,TGN_fullz,2,significant_tau100,0.0,True,,,
SimulatedWS12,TGN_fullz,2,critical_tau1000,0.0,True,,,
SimulatedWS12,TGN_fullz,2,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,2,mask_NET_tau10,0.0,True,,,
SimulatedWS12,TGN_fullz,2,mask_PROCESS_tau10,0.8506,True,,,
SimulatedWS12,TGN_fullz,2,mask_PROCESS_tau1,0.5324,True,,,
SimulatedWS12,TGN_fullz,2,oracle_prefix,0.4568,True,,,
SimulatedWS12,TGN_fullz,2,topk5,0.4302,True,,,
SimulatedWS12,TGN_fullz,2,topk10,0.3895,True,,,
SimulatedWS12,TGN_fullz,2,topk15,0.3834,True,,,
SimulatedWS12,TGN_fullz,2,topk20,0.3834,True,,,
SimulatedWS12,TGN_fullz,2,outlier_grubbs,0.4302,True,,,
SimulatedWS12,TGN_fullz,2,outlier_zscore,0.0,True,,,
SimulatedWS12,TGN_fullz,2,outlier_iqr,0.0,True,,,
SimulatedWS12,TGN_fullz,0,loocv_tau,0.5606,True,,13.640463599999999,
SimulatedWS12,TGN_fullz,0,loocv_mask,0.9487,True,PROCESS,10.170133819999998,
SimulatedWS12,TGN_fullz,0,loocv_lambda,0.9487,True,PROCESS,10.170133819999998,0.0
SimulatedWS12,TGN_fullz,1,loocv_tau,0.2662,True,,13.640463599999999,
SimulatedWS12,TGN_fullz,1,loocv_mask,0.961,True,PROCESS,10.170133819999998,
SimulatedWS12,TGN_fullz,1,loocv_lambda,0.961,True,PROCESS,10.170133819999998,0.0
SimulatedWS12,TGN_fullz,2,loocv_tau,0.0,True,,58.0,
